29158640.0,46301930.0,34275420.0,116.04,117.64,117.52,116.94,117.69,118.6,115.51,115.08,116.86,113.18
28507780.0,27054320.0,11475920.0,110.78,111.43,111.13,112.03,112.47,111.87,110.07,111.39,110.95,110.52
27391950.0,27377960.0,27607370.0,157.86,160.52,161.94,159.5,160.71,162.51,156.72,157.84,160.15,157.21
27850370.0,28331540.0,33674960.0,164.12,162.62,165.67,165.73,165.42,166.33,163.37,162.41,161.22,162.32
44054640.0,49250500.0,41994110.0,246.5,255.6,250.74,248.72,262.49,255.52,239.13,252.0,249.4,244.93
49250500.0,41994110.0,51054150.0,255.6,250.74,252.75,262.49,255.52,255.87,252.0,249.4,247.05,240.91
25100510.0,22858840.0,22401040.0,174.78,173.41,172.23,175.84,175.0,173.92,173.85,173.04,171.7,175.82
19216820.0,20059570.0,21162560.0,208.39,206.43,210.16,209.48,206.98,210.45,207.32,204.22,207.2,213.28
24205100.0,28601630.0,41357180.0,351.41,355.15,351.46,353.45,355.4,353.2,349.22,351.09,344.72,349.72
21532200.0,20523870.0,23589930.0,174.55,174.35,173.44,175.06,175.61,175.37,173.41,173.93,173.05,174.29
23637310.0,44866280.0,71574560.0,158.99,159.87,162.61,159.4,159.96,163.96,158.09,157.91,158.77,159.88
45751160.0,22010360.0,18612770.0,203.06,204.4,204.9,203.4,205.97,205.0,199.11,203.86,202.12,210.52
28310840.0,27623150.0,58724080.0,109.72,109.81,106.7,110.54,110.35,110.23,109.66,108.83,106.6,111.73
76562170.0,56111590.0,53075960.0,110.15,112.03,112.17,111.88,114.53,113.31,107.36,112.0,111.54,112.34
79356010.0,63000140.0,62285770.0,96.2,97.96,100.32,97.71,100.48,101.19,95.36,95.74,97.3,96.66
50061580.0,35678360.0,50278030.0,113.25,113.63,113.38,115.5,114.72,114.18,112.37,113.3,112.52,114.71
49979700.0,42288790.0,44282560.0,93.79,95.92,94.29,94.72,96.35,95.94,92.59,94.1,93.93,93.99
32970790.0,30386830.0,52720620.0,110.82,112.73,110.0,112.45,112.75,112.28,110.68,111.44,109.49,110.21
43233950.0,46559730.0,27584020.0,117.64,115.76,114.92,119.75,117.49,115.05,116.76,115.5,113.32,119.30
71937310.0,51529980.0,65648660.0,99.93,101.52,98.63,100.88,101.53,101.46,98.07,99.21,98.37,93.42
17170490.0,20859830.0,17837130.0,151.5,150.48,149.2,151.74,151.42,150.13,150.19,149.95,148.67,150.27
33009110.0,39483400.0,44829060.0,121.11,121.85,123.13,121.81,122.69,123.82,120.62,120.18,121.62,120.57
36191330.0,46271660.0,60547340.0,190.5,188.39,193.9,194.97,191.97,194.48,189.46,186.9,185.93,185.86
14244050.0,26043820.0,23724430.0,115.59,116.35,116.8,116.52,116.51,117.4,115.59,115.64,116.78,117.26
40026250.0,25058280.0,27368840.0,103.96,101.91,102.24,105.18,102.91,102.28,103.85,101.78,101.5,105.97
22526310.0,29773430.0,30967960.0,183.08,184.28,175.44,185.47,184.99,179.83,182.15,181.14,174.52,190.15
32395870.0,27052000.0,31306390.0,177.3,177.3,178.61,179.44,177.78,179.58,176.82,176.6,177.41,174.22
39914850.0,26147280.0,33508960.0,156.25,155.79,155.48,158.13,156.33,158.13,154.11,153.66,154.32,165.25
21673390.0,17618870.0,13909560.0,208.46,207.48,208.89,210.64,209.73,209.24,208.44,207.14,206.73,208.78
